交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sh,="688116",天奈科技,化学原料,109.9117,0.0031,0.277,,6.8647,0.0854,,,,,,,86454265,,,,0.4206,0.4748,34
sh,="603256",宏和科技,非金属材料与制品,109.7484,0.0057,0.1578,0.3842,8.0427,0.0797,,,,,,,161936045,,,,0.1161,0.1188,244
sz,="300392",腾信股份,传媒,109.7299,0,0.0295,0.1179,6.8171,0.0865,0.0426,-0.2191,-0.4074,0.185,0.1657,32580369,15977155,-117311507,-308817846.13,158216612.53,0.0848,0.0892,42
sz,="300550",和仁科技,计算机软件,109.6079,0.0017,0.0825,0.4555,6.3171,0.0594,0.0775,0.0706,,,,35400527,43888451,34825118,,,0.3021,0.3515,88
sh,="600268",国电南自,电气部件与设备,109.3547,0.0061,0.0401,0.2751,2.5288,0.064,0.0733,0.0753,0.0512,0.063,-0.0949,49904773,60485229,63426701,15737682.14,23978693.1,0.0718,0.0809,134
sh,="688200",华峰测控,专用设备,109.3468,0.0022,0.4089,0.8151,8.3908,0.0977,,,,,,,,,,,1.8726,2.2225,91
sh,="688018",乐鑫科技,半导体,109.2951,0.0049,0.1902,,8.9257,0.1474,,,,,,,96829519,,,,1.7444,1.9813,169
sz,="300517",海波重科,建筑与工程,109.2655,0.0013,0.0271,0.1907,2.6219,0.0248,0.0525,0.0556,0.0914,,,17396072,34001510,33976101,42433587.83,,0.163,0.2394,29
sh,="603028",赛福天,黑色金属,108.7112,0.0018,0.0203,0.1883,3.4387,0.0174,0.0247,0.0287,0.0449,,,12358992,17264669,19721700,30055631,,0.056,0.0651,21
sz,="300626",华瑞股份,通用机械,108.5471,0.002,0.0335,0.1794,3.3675,0.0426,0.0762,0.1362,,,,22848399,38901029,63195011,,,0.1269,0.1343,23
sh,="600234",ST山水,传媒,108.4445,0,0.0757,0.2671,25.789,0.2359,-0.1459,-0.1962,0.0954,-0.1139,-0.3749,18089437,-16913619,-18538782,10379476.51,-7296973.18,0.0894,0.0834,27
sh,="688588",凌志软件,信息技术服务,108.4226,0.0054,0.2572,0.4426,15.1323,0.2299,0.1698,,,,,,,,,,0.4276,0.4162,28
sz,="300065",海兰信,电子设备及服务,108.351,0.0019,0.0719,0.3325,4.3433,0.0345,0.0728,0.1063,0.0833,0.0523,0.026,58209661,105505184,112394030,90910495.88,44064859.95,0.1462,0.2589,74
sz,="002387",维信诺,光电子器件,108.2642,0,0.0696,0.3205,1.4295,0.0107,-0.0107,-0.0125,0.0141,-0.6165,-0.0093,194289990,-160812566,-146869788,10152948.54,-637040034.23,0.1421,0.0468,164
sh,="600570",恒生电子,资本市场服务,107.9509,0.0041,0.2583,0.9269,26.1884,0.226,0.2799,0.1488,-0.0292,0.1856,0.1879,973089833,985860959,486324324,-11159701.96,454663274.34,1.2116,1.7629,1648
sz,="000037",深南电A,电力公用事业,107.3154,0.0011,0.0341,0.1333,5.3703,0.0218,-0.0033,0.0094,1.0443,-0.8911,-0.3107,39251105,1808360,32365280,1325589482.47,-592458404.47,0.0651,0.0413,60
sh,="603027",千禾味业,食品,107.1642,0.0021,0.1532,0.4654,15.6305,0.1443,0.1427,0.2061,0.1299,,,218125004,180599385,216506670,114172682.46,,0.4682,0.4256,1004
